,status,price,bed,bath,acre_lot,state,zip_code,house_size,sold_date
267,for_sale,469900.0,5.0,,0.19,Connecticut,6702.0,3642.0,2020-01-15
268,for_sale,1300000.0,2.0,2.0,0.16,New Jersey,8724.0,1477.0,2020-01-15
269,for_sale,469900.0,5.0,,0.19,Connecticut,6702.0,3642.0,2020-01-15
270,for_sale,469900.0,5.0,,0.19,Connecticut,6702.0,3642.0,2020-01-15
271,for_sale,399900.0,4.0,3.0,0.41,New Jersey,8043.0,2150.0,2020-01-15
272,for_sale,499000.0,3.0,2.0,1.51,Connecticut,6877.0,1170.0,2020-01-15
273,for_sale,499000.0,3.0,2.0,1.51,Connecticut,6877.0,1170.0,2020-01-15
274,for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15
275,for_sale,469900.0,5.0,,0.19,Connecticut,6702.0,3642.0,2020-01-15
276,for_sale,499000.0,3.0,2.0,1.51,Connecticut,6877.0,1170.0,2020-01-15
277,for_sale,399900.0,4.0,3.0,0.41,New Jersey,8043.0,2150.0,2020-01-15
278,for_sale,499000.0,3.0,2.0,1.51,Connecticut,6877.0,1170.0,2020-01-15
279,for_sale,1300000.0,2.0,2.0,0.16,New Jersey,8724.0,1477.0,2020-01-15
280,for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15
281,for_sale,469900.0,5.0,,0.19,Connecticut,6702.0,3642.0,2020-01-15
282,for_sale,1300000.0,2.0,2.0,0.16,New Jersey,8724.0,1477.0,2020-01-15
283,for_sale,469900.0,5.0,,0.19,Connecticut,6702.0,3642.0,2020-01-15
284,for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15
285,for_sale,1300000.0,2.0,2.0,0.16,New Jersey,8724.0,1477.0,2020-01-15
286,for_sale,1169000.0,3.0,3.0,4.0,Maine,4605.0,3516.0,2020-01-15
287,for_sale,329900.0,2.0,2.0,0.09,Massachusetts,1604.0,768.0,2020-01-16
288,for_sale,329900.0,2.0,2.0,0.09,Massachusetts,1604.0,768.0,2020-01-16
289,for_sale,339900.0,3.0,3.0,0.28,Connecticut,6032.0,1132.0,2020-01-16
290,for_sale,339900.0,3.0,3.0,0.28,Connecticut,6032.0,1132.0,2020-01-16
291,for_sale,329900.0,2.0,2.0,0.09,Massachusetts,1604.0,768.0,2020-01-16
292,for_sale,339900.0,3.0,3.0,0.28,Connecticut,6032.0,1132.0,2020-01-16
293,for_sale,329000.0,5.0,3.0,0.38,Connecticut,6360.0,2281.0,2020-01-16
294,for_sale,329900.0,2.0,2.0,0.09,Massachusetts,1604.0,768.0,2020-01-16
